Year,State,Category,Total,Average,Count
2008,UT,Business,227170,8413.7037037,27
2008,UT,Debt,394853,5806.66176471,68
2008,UT,Medical & Personal,151881,4467.08823529,34
2008,UT,Other/NA,28800,2880.0,10
2008,UT,Student,14500,2416.66666667,6
2008,VA,Auto & Home,202433,6980.44827586,29
2008,VA,Business,432598,9831.77272727,44
2008,VA,Debt,967399,6626.02054795,146
2008,VA,Medical & Personal,297600,4509.09090909,66
2008,VA,Other/NA,207749,4516.2826087,46
2008,VA,Student,52000,3714.28571429,14
2008,VT,Auto & Home,6900,2300.0,3
2008,VT,Business,29000,14500.0,2
2008,VT,Debt,53700,5370.0,10
2008,VT,Medical & Personal,8500,2125.0,4
2008,VT,Other/NA,5000,5000.0,1
2008,WA,Auto & Home,189500,4858.97435897,39
2008,WA,Business,523250,9513.63636364,55
2008,WA,Debt,1245982,6019.23671498,207
2008,WA,Medical & Personal,426564,4443.375,96
2008,WA,Other/NA,187449,4260.20454545,44
2008,WA,Student,27800,3475.0,8
2008,WI,Auto & Home,98403,6150.1875,16
2008,WI,Business,290250,10366.0714286,28
2008,WI,Debt,396182,5079.25641026,78
2008,WI,Medical & Personal,133991,3828.31428571,35
2008,WI,Other/NA,64000,3555.55555556,18
2008,WI,Student,7100,2366.66666667,3
2008,WV,Auto & Home,15700,5233.33333333,3
2008,WV,Business,35000,11666.6666667,3
2008,WV,Debt,83800,5237.5,16
2008,WV,Medical & Personal,60090,5007.5,12
2008,WV,Other/NA,21200,3533.33333333,6
2008,WV,Student,3000,1500.0,2
2008,WY,Auto & Home,23374,5843.5,4
2008,WY,Debt,26800,4466.66666667,6
2008,WY,Medical & Personal,15500,3100.0,5
2008,WY,Other/NA,3100,1550.0,2
2008,WY,Student,1400,1400.0,1
2009,AK,Auto & Home,12000,12000.0,1
2009,AL,Auto & Home,32500,10833.3333333,3
2009,AL,Business,16500,5500.0,3
2009,AL,Debt,27720,3465.0,8
